Modelo,Accuracy,Precision,Recall,F1-Score
HistGradientBoosting,1.0,1.0,1.0,1.0
RandomForest,0.9958333333333333,0.9912077294685989,1.0,0.9955550067909618
DecisionTree,1.0,1.0,1.0,1.0
LogisticRegression,0.9833333333333334,0.9665596858539901,1.0,0.982698152910919
SVC_RBF,0.95625,0.9288249845392702,0.9818181818181818,0.9540855755569229
KNN,0.9479166666666666,0.9270399648660519,0.9638383838383838,0.9447734032181104
